,NG,Diesel,Electricity,Residual Oil,LPG,DME,FTD,Biodiesel,Renewable Diesel,Renewable Gasoline,Hydrogen
VOC,70.18,46.47,5,55.80,80.94,58.84,85.34,32.53,91.32,15.71,5
CO,622.23,759.7,7,609.4,435.5,319.2,491.2,456.1,692.1,872.9,5
NOx,346.75,9922.3,6,1500.7,9614.2,2049.5,3857.2,5294.2,8825.3,1399.8,8429.5
PM10,91.473,68.767,8,89.823,4.540,74.491,78.110,43.135,95.819,64.596,6
PM2.3,86.633,41.716,7,84.308,6.681,6.781,81.684,18.836,37.166,91.192,2
SOx,5.311,4.606,6,998.829,3,9,2,5,6,1,2
BC,1.692,94.40,2,79.51,8.797,6.895,78.42,93.14,13.19,31.56,4
OC,9.789,9.70,2,5.15,7.667,4.880,7.37,2.22,1.92,7.24,4
CH4,517.569,7.84,7,7.46,9.33,6.55,5.79,5.28,1.73,2.29,7
N2O,8,3,1,9,3,8,8,8,6,5,3
CO2,43809,97814,3,76756,98111,89076,79322,30295,13396,53679,9
