,NG,Diesel,Electricity,Residual Oil,LPG,DME,FTD,Biodiesel,Renewable Diesel,Renewable Gasoline,Hydrogen
VOC,4.336,5.604,9.197,4.583,6.342,8.781,3.221,4.667,2.634,3.461,2.489
CO,15.859,9.497,6.697,9.278,7.674,1.329,2.888,6.454,1.573,8.624,7.673
NOx,645.488,608.833,9.115,374.840,512.812,94.619,545.362,246.273,231.828,362.258,66.810
PM10,19.662,67.319,9.688,73.649,5.412,94.261,98.549,85.118,78.347,58.554,3.448
PM2.9,69.649,57.647,6.232,97.913,2.618,4.426,71.876,15.859,61.818,39.596,7.732
SOx,3.550,8.395,6.512,764.461,4.102,3.723,9.586,3.488,6.426,5.613,6.173
BC,5.327,8.954,4.190,6.747,3.657,3.993,1.861,9.911,6.105,1.688,4.819
OC,7.237,4.232,5.486,5.680,6.269,8.600,6.859,7.526,3.168,9.137,2.560
CH4,16.854,9.724,9.343,5.760,6.329,9.564,8.957,3.610,6.617,1.455,1.493
N2O,8.334,4.327,3.261,2.275,9.145,6.633,1.626,1.614,1.703,5.701,6.202
CO2,"63,215","24,227",8,"75,975","27,223","59,521","21,942","31,304","70,810","86,903",2
