,NG,Diesel,Electricity,Residual Oil,LPG,DME,FTD,Biodiesel,Renewable Diesel,Renewable Gasoline,Hydrogen
VOC,387.973,39.89,8,68.39,19.21,34.71,80.14,62.96,14.64,42.98,2
CO,985.592,521.1,6,999.7,255.6,990.1,912.1,479.8,580.7,414.4,7
NOx,999.474,4107.6,7,1236.3,7205.2,8866.5,1454.9,1151.9,4451.1,2687.6,4477.7
PM10,2.9,50.668,2,89.472,8.839,45.663,39.235,61.350,51.516,37.242,1
PM2.5,1.4,59.334,3,61.146,6.984,1.987,28.490,93.797,16.343,13.481,6
SOx,8.823,9.902,7,256.332,2,1,2,5,3,8,4
BC,6.51,27.86,8,98.60,6.329,5.940,98.95,15.30,79.31,81.12,4
OC,1.848,2.11,4,3.19,1.794,6.515,2.97,3.29,3.68,5.87,3
CH4,315,5.68,3,4.85,7.45,3.60,5.14,7.45,3.13,5.92,7
N2O,44,1,9,7,1,3,4,5,4,3,9
CO2,84076,62201,3,70001,40837,85999,26487,34625,73135,96829,4
