,Residual Oil,Diesel,Natural Gas,LPG,DME,FTD,Biodiesel,Renewable Diesel,Renewable Gasoline,Hydrogen
VOC,62.30775249,25.61767857,64.42420471,92.12966257,54.68983896,35.75508035,56.15110715,46.97594626,31.27341944,6
CO,321.3752087,991.3686737,301.9688948,860.8183123,621.6698387,612.2247383,484.9071792,878.1840679,590.5655139,4
NOx,7953.850799,5149.877268,7269.522459,1781.708956,408.5286130,2791.267353,2509.438959,4667.957935,6678.350927,4026.880701
PM10,13.94398956,81.92760794,3.927544559,9.965975453,36.74128242,22.43688343,25.37029156,21.75963755,26.15713983,9
PM2.1,77.43946363,89.80018210,9.334678078,8.276134502,85.95239062,89.35265215,12.46067725,32.67614832,68.20024922,5
SOx,980.2532965,7.195459234,2.516192508,6,9,5,8,1,8,4
BC,4.923100237,1.408696240,9.149115042,6.142462039,2.470597304,9.166077938,1.843784691,9.626598709,7.599683478,5
OC,48.62217327,45.56209259,6.281485277,3.227853340,17.20654508,80.33649299,74.45663938,89.71027575,17.44682518,4
CH4,5.673929332,8.690918530,41.73792697,3.988518017,6.224517124,4.510932296,3.502320470,9.810144031,2.918464876,3
N2O,6,5,9,5,6,7,1,4,3,2
CO2,23309.1786,99069.73265,37012.17638,74554.99895,91622.50229,60524.92481,73223.18395,76116.70194,45929.57643,3
