,Bunker Fuel,Diesel,Natural Gas,LPG,DME,FTD,Hydrogen
VOC,79.925,79.925,79.925,79.925,79.925,79.925,0
CO,181.669,181.669,90.835,90.835,181.669,181.669,0
NOx,2123.85,2123.85,2123.85,2123.85,1061.925,2123.85,3716.738
PM10,181.311,181.311,18.131,18.131,126.918,181.311,0
PM2.5,166.841,166.841,16.684,16.684,116.789,166.841,0
SOx,1443.565,8.038,0.269,0,0,0,0
BC,25.026,25.026,2.503,2.503,17.518,25.026,0
OC,65.068,65.068,6.507,6.507,45.548,65.068,0
CH4,4.581,4.581,91.62,4.581,4.581,4.581,0
N2O,2,2,2,2,2,2,0
CO2,84534,77652,58769,67657,69371,75754,0
