Fuel,"User Selection: LHV or HHV, Btu/ton","LHV, Btu/ton","HHV, Btu/ton","Density, grams/ton","C ratio, (% by wt)","S ratio, (ppm by wt)","S ratio, Actual ratio by wt",LHV/HHV
Coal mix for electricity generation,NaN,19474169.219601400,20673610.116392700,NaN,0.585711099,10455.988337377,NaN,NaN
Bituminous coal,NaN,22639319.979813500,23633492.961880300,NaN,0.612000000,15352.092718927,NaN,NaN
Subbituminous coal,NaN,16085444.010446700,17449319.671483700,NaN,0.537000000,3568.253687975,NaN,NaN
Lignite coal,NaN,10805182.822031700,12992301.971719600,NaN,0.491000000,9064.234716263,NaN,NaN
Synthetic coal,NaN,22639319.979813500,23633492.961880300,NaN,0.806420498,16142.739251388,NaN,NaN
Waste coal,NaN,9945646.340310510,11958783.362163000,NaN,0.326428585,9064.234716263,NaN,NaN
Petcoke,NaN,26949428.734871500,28595925.171775300,NaN,0.866700000,45137.714412409,NaN,NaN
Tire-derived fuel,NaN,26664354.295994300,28293433.886979700,NaN,0.487986970,45137.714412409,NaN,NaN
Coking coal,NaN,24599421.974726300,25679670.000000000,NaN,0.747000000,11800.000000000,NaN,NaN
Willow,NaN,15396000.000000000,16524000.000000000,NaN,0.487000000,500.000000000,NaN,NaN
Poplar,NaN,15929000.000000000,17062000.000000000,NaN,0.501000000,200.000000000,NaN,NaN
Switchgrass,NaN,14447000.000000000,15583000.000000000,NaN,0.466000000,1100.000000000,NaN,NaN
Miscanthus,NaN,15342000.000000000,16377000.000000000,NaN,0.476000000,800.000000000,NaN,NaN
Corn stover,NaN,14716000.000000000,15774000.000000000,NaN,0.467000000,1000.000000000,NaN,NaN
Forest residue,NaN,17289000.000000000,17906000.000000000,NaN,0.503000000,400.000000000,NaN,NaN
Sugarcane straw,NaN,13454048.892850800,15774000.000000000,NaN,0.500000000,NaN,NaN,NaN
Sugarcane bagasse,NaN,12381771.311916800,14062678.000000000,NaN,0.463000000,NaN,NaN,NaN
Bio-char,NaN,18916910.571571600,18916910.571571600,NaN,0.512000000,0.000000000,NaN,NaN
Grain sorghum bagasse,NaN,12781599.343864100,14131556.354955100,NaN,0.393400000,0.000000000,NaN,NaN
Sweet sorghum bagasse,NaN,14409931.248165700,15305245.093897200,NaN,0.419850000,0.000000000,NaN,NaN
Forage sorghum bagasse,NaN,14409931.248165700,15305245.093897200,NaN,0.419850000,0.000000000,NaN,NaN
Municipal solid waste (defined by EISA),NaN,11209638.734587300,13583444.584264600,NaN,0.491615181,1765.225066196,NaN,NaN
Convertible municipal solid waste,NaN,14155275.214870900,16144032.889687400,NaN,0.504915103,1787.310098302,NaN,NaN
