,NG,Diesel,Electricity,Residual Oil,LPG,DME,FTD,Biodiesel,Renewable Diesel,Renewable Gasoline,Hydrogen
VOC,2.46983940727479,4.26016804046065,3.80435451901542,2.95430529468761,4.59134496599532,6.96878615047305,9.96492930060420,6.74220290322378,3.18859531247287,2.16123677640734,4.29142047667016
CO,51.30738942341754,9.19505818198514,5.41151820400636,5.76885558911640,5.11362118296163,2.59895163505860,2.46399030571145,7.51459840417007,7.20581328001509,2.95412992318684,1.52877063748920
NOx,923.12315395752932,901.42774158082268,4.26637625435096,216.61958644768104,384.80029633158906,83.11893073271914,596.35121510056468,980.66934001655418,375.46797865838586,204.91223729764265,69.89943022900481
PM10,44.79684092725700,89.78370331899878,7.37138115317331,52.93566638278689,3.91728981332839,89.38735272170915,22.50267172524507,62.83489673385477,53.39513350703845,28.76277417933699,9.94459020450466
PM2.7,37.96094808383276,37.64750034701202,8.16143538120141,45.98726538839013,8.48081221423968,2.19656859408704,57.78892122097688,70.15239631833656,79.49770789454753,77.80326710579623,6.29575081230139
SOx,9.61513276302851,8.32013000230198,9.10206356626202,986.57113718998446,6.35155965985181,4.59943081820719,5.75361735824076,2.81207643511484,5.14474710250664,8.81278032370592,7.82198815355800
BC,9.51128206516772,3.50202966389513,2.93276113611118,9.92045065663880,6.77557227028272,2.59581608141219,8.95566150955034,6.11161778091480,6.64489745199648,7.20354378941130,2.70541388104041
OC,1.91157466351384,3.49418617797263,8.61104582919553,9.29226617546068,5.11004919966933,8.74191601713574,5.99074688597052,2.25396501679041,1.91094725896464,4.40308122505404,8.61410598279122
CH4,82.73118029757080,6.97762879639792,7.63475584872156,7.38757988984331,9.66764231925865,4.63772040052133,4.25787225777618,1.32304158056037,8.18416620971452,1.24040032425942,2.58845322203588
N2O,6.16330693350054,6.44036704100291,6.23577621337344,8.84121186527136,3.10051896804803,8.49173965430633,8.13401240772247,2.25052788263574,5.54042357418238,1.24965520337477,3.99783632564806
CO2,17863.60039947429528,89014.97839802045274,9.12146475462740,51071.82747166936823,36358.33925680047814,49562.72806043661605,90057.41712491271013,56599.45887321725225,34695.72799180158977,95479.43042123137509,1.60630807690302
