,Diesel,Natural Gas,LPG,DME,FTD,Biodiesel,Renewable Diesel,Renewable Gasoline,Hydrogen
VOC,69.44822126017908,98.47452314319964,15.42896479269463,99.87766591558026,68.44331757907725,48.19695905055200,57.37621205676206,16.61672800118354,5.47073192963007
CO,450.66774494338229,556.48841346185326,167.77233707274892,370.97232663804376,394.89829679300104,505.47037301937639,266.31559607829629,358.90251535329019,9.81635149068422
NOx,5817.88124452440932,2973.93588868645402,2814.12683610470571,877.62470842118607,8339.20743669260497,3167.63956659241203,2669.34162312777272,7192.60853898506447,963.39556168253548
PM10,15.84314666914043,1.97070135709588,6.69566515345829,15.81304728720536,28.70425561159757,17.97873250923322,72.63943991438356,88.36512109554824,1.97583311294531
PM2.5,91.73185246176206,7.53629989479670,4.12174360320672,34.89729229973210,25.32482786558783,50.64176102926334,95.13175555155973,67.12230065009752,7.92953875181432
SOx,2.16860981657792,4.74839270254853,3.13265633739489,5.90248061860476,5.66450849662003,6.67562530432586,1.80074308813549,3.47452761444738,5.50360409799799
BC,1.58673859688169,5.50150195710210,5.75818498732419,3.82342926664453,6.25581944857065,7.33817193830761,9.19781941369043,7.30137959607670,7.73533830898644
OC,79.59415586587701,9.39671089163845,3.62518434281341,18.37638933945573,67.35747401608669,76.10029324240103,96.22303079087253,37.78607720535652,2.30482172870467
CH4,9.14210060951479,691.74280890239361,5.72929987641987,9.58628653114397,6.77965590332913,1.43834083598084,1.50479004913425,6.94543001135344,3.14774396210214
N2O,9.43827537337670,8.64431427071236,3.82003132787879,2.55036712715078,6.11240203463831,6.43848927411770,2.12471687139085,8.27518872139889,6.12263276426226
CO2,48190.66941055350630,68448.76913372884825,34760.78698486597755,64625.77883105419740,63291.18244084899863,18840.13849053475224,44172.81445959646987,19765.65778589773597,2.81618159861386
