,Bunker Fuel,Diesel,Natural Gas,LPG,DME,FTD,Hydrogen
VOC,79.925003051757800,79.925003051757800,79.925003051757800,79.925003051757800,79.925003051757800,79.925003051757800,0.000000000000000
CO,181.669006347656000,181.669006347656000,90.834503173828100,90.834503173828100,181.669006347656000,181.669006347656000,0.000000000000000
NOx,2123.850097656250000,2123.850097656250000,2123.850097656250000,2123.850097656250000,1061.925048828120000,2123.850097656250000,3716.737670898440000
PM10,181.311004638672000,181.311004638672000,18.131100463867200,18.131100463867200,126.917703247070000,181.311004638672000,0.000000000000000
PM2.5,166.841003417969000,166.841003417969000,16.684100341796900,16.684100341796900,116.788702392578000,166.841003417969000,0.000000000000000
SOx,1443.565080430570000,8.037695601401320,0.268565615462869,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
BC,25.026150512695300,25.026150512695300,2.502615051269530,2.502615051269530,17.518305358886700,25.026150512695300,0.000000000000000
OC,65.067991333007800,65.067991333007800,6.506799133300780,6.506799133300780,45.547593933105500,65.067991333007800,0.000000000000000
CH4,4.580999851226810,4.580999851226810,91.619997024536100,4.580999851226810,4.580999851226810,4.580999851226810,0.000000000000000
N2O,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,2.000000000000000,0.000000000000000
CO2,84534.053580268400000,77651.875599581300000,58768.887746953700000,67657.010634541200000,69370.884592274700000,75754.030305069000000,0.000000000000000
