,Residual Oil,Diesel,Natural Gas,LPG,DME,FTD,Biodiesel,Renewable Diesel,Renewable Gasoline,Hydrogen
VOC,75.20407311687061,93.39494675831741,19.76906028753842,32.14798737874502,68.69190997624434,52.91021619707373,79.86367788484442,95.46384484899883,65.50245358440316,7.90984844119840
CO,675.94053702413053,596.63927343352147,257.85294854887316,446.43923558564862,279.73893998693707,957.96007779324513,318.53628351699637,971.60966244064578,192.25566693249286,6.46201153673367
NOx,7106.97903588639868,3094.98456767883124,5008.41035685835323,2106.95726332617559,940.77002974785328,1072.66810914667216,1040.16736909547712,5111.53718451248161,5762.71618960030069,6230.75645732248730
PM10,55.35398033797157,35.27433828653176,5.22208175744837,5.34135765816785,91.15656290907854,64.14464471464689,85.58561104388829,65.78302261345023,70.69405388626210,3.35708526119867
PM2.9,72.97991784760531,74.35332016131813,4.72247311860071,2.82857705242044,37.84340470384319,85.39566459161418,15.87950254396009,68.77360630571402,30.23641248036813,3.50672724815859
SOx,510.42804894379673,1.67112399113598,3.70838621013343,8.31862920632271,8.14425361435363,3.32755999156563,9.46865339668725,6.49749697531069,2.14807606414030,9.79191357145895
BC,4.15335050904791,4.56748861175989,6.81744296390210,1.66937525833031,4.73968735308490,6.35183579609364,6.29705277279583,1.96999168508357,8.45641138725266,5.79953963251601
OC,10.50848370062438,54.38831624552404,4.58155820206238,1.56357019345633,97.63075634847612,51.42690246498953,80.44512158233319,86.79407176173892,78.24258990126164,8.52712497678802
CH4,7.93684317086798,4.73852558750465,42.38743403431955,6.63563097870812,4.29560965912160,2.65938112739606,4.99027403780988,7.13981892015060,7.21970264324387,6.48098682976071
N2O,7.23717965635340,7.20366629039203,5.88775522077719,3.36380001763426,5.18500787213671,3.11002503438515,8.35260341958140,3.63943457968401,2.42267038090126,7.29220573470969
CO2,17711.40593762447708,22668.22437634542751,37861.83344708111012,55470.24032830643995,55021.24840000786522,62892.62679308915130,86410.56647079585880,72308.86793833758938,57080.73602292639776,1.72080026897971
