,Bunker Fuel,Diesel,Natural Gas,LPG,DME,FTD,Hydrogen
VOC,44.98337410182613,47.42540255358703,89.58186137927318,70.89107626355300,57.71214200544132,81.85263615402213,1.26009844071443
CO,587.40620684826100,827.35573313310508,32.43802867810323,90.78929951324162,282.78942480785223,535.63720150468838,2.28713677393338
NOx,1254.39125574405096,2176.59705226413995,3601.11581292273873,1576.74348481874093,1051.74588997371727,2590.73653878679090,7707.61520869442541
PM10,116.15969342610841,232.70993411131569,72.30076581044084,98.59370721068168,374.50884767540028,617.53519578424282,3.37472265110949
PM2.1,980.96767048284760,617.33116765384308,28.65198139304048,23.62650012729421,326.76332097089939,893.55472848084573,8.50085267185264
SOx,4549.29040065024705,9.81389483580902,9.98052548841036,7.17119531740273,4.41512312170869,8.54655190884677,1.69299354461818
BC,81.32142265952876,64.74084074353064,5.84046926982116,5.26340553522022,57.53034550260010,76.10792888885927,6.49797294559926
OC,40.61892662658245,71.81290964042829,9.28578170777842,2.51985977449761,28.32288310451564,20.59755555363216,4.56471732657160
CH4,4.33491510530402,2.39794477969432,38.54104030115205,3.90075172238881,3.30591947396766,4.59960454306323,7.64202964507506
N2O,4.49685899300909,3.73634533259776,9.77010226206448,8.59597288174866,8.50160274754369,5.81899868265813,7.69931436532706
CO2,84667.82806195261472,18524.41570909708790,57577.77999943569417,92793.81106879430809,20630.41180889816316,24865.86610528663876,7.37131627127234
