,Algeria Hassi R’Mel,Angola Girassol,Angola Kuito,Angola Takula,Australia Cossack,Azerbaijan Azeri,Brazil Frade,Brazil Lula,Canada Hibernia,China Bozhong,China Nanhai Light,China Qinhuangdao,Colombia Caño Limón,Colombia Cusiana,Ecuador Sacha,India Bombay High,Indonesia Duri,Indonesia Minas,Iran Aboozar,Iran Marun,Iraq Kirkuk,Iraq Rumaila,Iraq West Qurna,Iraq Zubair,Kazakhstan Tengiz,Kuwait Burgan,Kuwait Ratawi,Libya Waha,Mexico Chuc,Nigeria Agbami,Nigeria Bonga,Nigeria Bonny,Nigeria Escravos Beach,Nigeria Obagi,Nigeria Pennington,Norway Ekofisk,Norway Oseberg,Norway Skarv,Qatar Bul Hanine,Qatar Dukhan,Russia Romashkinskoye,Russia Samotlor,Saudi Arabia Ghawar,Saudi Arabia Safaniya,Saudi Arabia Zuluf,United Arab Emirates Fateh,United Arab Emirates Murban,U.S.  Alaska North Slope,U.S. Bakken Flare,U.S. Bakken No Flare,U.S. Texas Eagle Ford Black Oil Zone,U.S. Texas Eagle Ford Volatile Oil Zone,U.S. Texas Eagle Ford Condensate Zone,U.S.  East Texas Field,U.S. Louisiana Lake Washington Field,U.S. Gulf Mars,U.S. California Midway Sunset,U.S. Wyoming Salt Creek,U.S. California South Belridge,U.S. Texas Spraberry,U.S. Gulf Thunder Horse,U.S. Wyoming WC,U.S. California Wilmington,U.S. Texas Yates,Venezuela Hamaca SCO,Venezuela Tia Juana,Canada Cold Lake CSS Dilbit,Canada Athabasca SAGD Dilbit,Canada Athabasca DC SCO,Canada Athabasca FC-HC SCO,Denmark Dansk Blend,Mexico Cantarell,Russia Chayvo,UK Forties Blend,Venezuela Merey Blend
Product Slate (bbl product per day),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volume_flow_bbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrels of Crude per Day,101100.1946,100509.9416,96240.38798,101173.3477,97185.25901,97602.81863,97816.55966,102091.8387,100312.441,100263.9993,99857.75629,101109.9098,102166.4755,101446.0072,101332.3969,100997.4008,98075.78647,100204.2688,100398.1947,101141.6376,97829.94628,100558.3858,97134.29149,101030.9902,95119.02749,98587.77372,96515.90981,98474.01319,101889.2948,95429.62939,104358.178,99177.64136,96561.25661,99177.64136,96201.08299,96711.42067,99452.39266,100078.5945,97697.94838,98259.0539,100717.8011,100064.0159,101078.8295,101947.6198,101977.4673,99238.49246,99802.52462,101196.7756,100082.6018,100082.6018,99745.02363,100000,100000,99933.10974,100581.8056,101195.5745,100366.3259,98750.45283,98750.45283,99407.13359,100818.8476,99745.02363,100805.859,100764.6881,102806.3806,102779.4411,101434.8111,102767.1002,99885.29447,99796.22931,96545.52608,100675.3968,98746.3352,99466.9409,104885.7173
Gasoline,84801.74619,32245.72257,48981.75874,39348.24005,31325.04843,18258.58096,49126.42132,49040.88398,37458.11529,45646.64547,19117.09504,44484.59378,33465.26388,45981.24966,32139.19575,29304.32812,49241.19336,12492.80907,33379.88604,38050.48811,41064.98813,37189.41796,24632.27542,37693.2316,41234.84147,26164.01958,20999.84046,34078.89957,39605.3859,22095.5717,38888.00243,24206.28733,12596.31873,24206.28733,18358.01218,29590.89081,33049.56602,26130.12181,30265.46248,44320.7141,36829.9794,25953.09845,37807.037,33831.62298,34412.98775,39018.75656,45529.04321,38097.00476,28977.8997,28977.8997,35555.88915,49374.42904,78398.14649,28012.41715,22837.97794,32814.03321,52600.50724,25715.91192,50411.98257,30783.34661,42200.38257,25715.91192,57629.73144,42366.87345,43503.66918,41987.70641,48125.37721,50214.10502,16267.50216,17221.00512,17543.4171,26427.74755,27477.09103,48622.6802,57223.38159
Jet Fuel,7470.413706,18400.89842,10217.02334,16008.94317,19567.63019,23962.36103,9216.467728,18469.77337,18909.49218,8237.251077,22980.03268,9552.061292,22234.17801,24865.83427,23854.63331,26855.02408,5748.969114,17944.62177,19715.1094,20332.21648,20371.04627,20392.48265,16487.9735,16022.13268,26423.46293,16778.13272,14409.70823,18105.49469,20034.61993,24340.82183,32295.89068,28123.30231,10587.05815,28123.30231,21963.46719,21188.44399,23541.90053,20826.02691,17437.60224,21931.67508,20230.74655,23975.33269,22099.71876,17440.20816,20014.14984,21003.19229,22282.67129,17132.72018,24659.73662,24659.73662,24340.9647,24592.36671,14336.93291,23866.43394,28087.0489,16219.31061,17140.45963,23821.89437,9668.634246,23275.3579,18987.31477,23821.89437,10512.0406,21982.82449,21063.03824,10355.54328,11386.13587,11288.56527,29642.5287,28564.82374,17982.20656,15715.18189,23943.59022,16372.72284,13082.60934
Diesel,427.8450835,23943.14149,34222.39197,19000.69074,6694.180364,11219.47823,36185.50475,28874.94195,14469.95786,39159.55863,10202.0136,40547.08707,17986.98725,20208.18208,18401.84123,7563.476019,35032.47743,8579.04677,18988.12742,17443.60644,20838.212,18371.21816,18212.06472,20340.60947,16037.00644,24356.86041,14736.90896,17692.55652,18381.79197,7627.703364,19714.35905,13412.60593,14499.79512,13412.60593,13311.42077,7981.939766,8401.045508,12221.9119,17365.30952,14651.31305,18895.05098,8130.899579,18183.49084,17793.20652,18943.30604,19833.85032,19061.14823,18498.94424,10061.29347,10061.29347,10207.35232,8584.283438,1507.496527,8617.532682,11198.18767,22939.71977,28737.54233,9109.484398,37879.66248,7929.821866,19989.52531,9109.484398,31834.90533,18617.19221,20630.5099,36158.6183,27621.95218,25723.70211,18614.94977,16545.29573,8280.015362,17330.2643,11178.62688,20648.80382,18540.24242
Fuel Oil,166.2935112,1.35E-08,3.20E-08,9.32E-09,9625.794195,11607.17615,3.57E-08,2.08E-08,5.65E-09,3.63E-08,12945.62758,3.82E-08,8.36E-09,1.06E-08,9.77E-09,9689.094006,3.54E-08,12695.49017,1.15E-08,9.69E-09,1.26E-08,1.18E-08,1.39E-08,1.39E-08,7.61E-09,1.96E-08,1.08E-08,7.72E-09,1.12E-08,11006.0838,3.20E-09,11182.51761,13253.24326,11182.51761,10281.09303,9191.537273,8402.449356,10432.24339,1.37E-08,7.62E-09,1.17E-08,7512.787693,1.08E-08,1.14E-08,1.16E-08,1.25E-08,9.78E-09,1.14E-08,9439.559994,9439.559994,8911.499578,6840.586204,853.4398282,8124.990174,8667.314616,1.30E-08,2.81E-08,7581.00312,3.72E-08,8472.475713,1.32E-08,7581.00312,3.02E-08,1.27E-08,1.31E-08,3.34E-08,2.34E-08,2.39E-08,18314.50443,16238.99526,8492.920942,9.66E-09,6570.577496,1.06E-08,9.41E-09
Coke,2.21E-15,9.21E-18,7919.203734,1.09E-17,2.05E-17,6.74E-18,7905.471801,3.57E-17,4.71E-18,10676.48619,1.28E-17,9515.200528,9.69E-18,9.61E-18,1.85E-17,1.06E-17,10437.77326,1.09E-17,1.58E-17,1.57E-17,2.38E-17,2.01E-17,1.91E-17,1.92E-17,2.86E-18,1.88E-17,1.73E-17,8.00E-18,1.58E-17,4.28E-18,5.83E-18,9.55E-18,1.23E-18,9.55E-18,9.42E-18,9.33E-18,1.18E-17,1.05E-17,1.19E-17,8.10E-18,1.27E-17,1.40E-17,1.32E-17,1.71E-17,1.73E-17,1.77E-17,3.08E-17,1.43E-17,1.10E-17,1.10E-17,1.32E-19,8.82E-38,2.82E-19,1.09E-17,7.46E-18,1.64E-17,5530.261322,1.29E-17,7984.792871,5.70E-18,1.63E-17,1.29E-17,6433.459445,1.53E-17,2.72E-17,15455.70322,13825.26277,13592.08053,8.81E-19,4.41E-18,5.06E-18,2.32E-17,4.54E-18,1.07E-17,15186.59213
Residual fuels,79.52195652,29256.16695,3807.856089,29129.4923,28017.40304,33456.23174,4119.65722,10916.84458,31627.00561,4239.389852,32964.42973,4373.674379,29870.64026,11960.66741,29222.73385,27310.33195,4246.216078,48131.30043,30580.36332,26918.65179,18095.62839,25777.57289,38654.63594,27754.65464,11430.06185,34570.96278,47173.62558,30647.71909,23468.44607,27193.77423,17173.13567,28238.05439,45964.43215,28238.05439,33480.62277,30590.92419,24904.91847,29099.74123,34856.66325,16957.7969,26192.30591,33032.50982,23359.53096,33594.47702,29266.13941,22660.82751,12992.86898,28826.05111,26160.81774,26160.81774,19365.392,7598.141804,589.425434,31379.91465,29159.26392,30036.81581,3405.293901,32768.70426,4413.004179,27224.37436,21602.14198,32768.70426,3667.346978,18949.75723,21426.68748,3780.007035,2587.682463,2606.265226,18270.15707,22086.27228,47913.87876,42100.6469,30730.14747,15599.12533,3311.079192
Surplus Refinery Fuel Gas (RFG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
